Region,Country,Province,Medicine/Brand Name,Therapeutic Indications,Manufacturer,Batch Lot Number,API,Dosage Form,Drug Registered,Facility Sector,Facility Type,Year,Date Sample Collected,Final Test Result,Type of Test,Reason for Failure,Counterfeit Medicine,Actions Taken on Substandard or Counterfeit Medicine
Asia,Cambodia,Preah Vihear ,Nivaquine,Antimalarial,Thailand,781TN7,Chloroquine,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pailin,Quinine,Antimalarial,Brainy Pharmaceutical,20530,Quinine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Screening,Wrong API,No,Unknown
Asia,Cambodia,Pursat,Quinine,Antimalarial,Unknown,Missing,Quinine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Screening,Wrong API,No,Unknown
Asia,Cambodia,Battambang,Tetracycline,Antimalarial,Vidipha Pharmaceutical Joint-Stock Co.,140401,Tetracycline,Capsule,Unknown,Unknown,Pharmacy,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Artesunate,Antimalarial,"Guilin Pharmaceutical Co., Ltd",20402,Artesunate,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Artesunate,Antimalarial,"Guilin Pharmaceutical Co., Ltd",20402,Artesunate,Tablet,Unknown,Unknown,Pharmacy,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Tetracycline,Antimalarial,Unknown,B N C15 103,Tetracycline,Capsule,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Compendial,Missing,No,Unknown
Asia,Cambodia,Pailin,Chloroquine,Antimalarial,Liwinner Pharmaceutical,3744,Chloroquine,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Artesunate,Antimalarial,"Guilin Pharmaceutical Co., Ltd",10301,Artesunate,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Compendial,No API,Yes,Unknown
Asia,Cambodia,Pailin,Quinine,Antimalarial,Brainy Pharmaceutical,20530,Quinine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Screening,Wrong API,No,Unknown
Asia,Cambodia,Pursat,Artemether,Antimalarial,Kunming Pharmaceutical factory,20001074,Artemether,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Mefloquine,Antimalarial,Unknown,Missing,Mefloquine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Quinine,Antimalarial,Brainy Pharmaceutical,20530,Quinine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Compendial,Wrong API,No,Unknown
Asia,Cambodia,Pailin,Tetracycline,Antimalarial,Unknown,802,Tetracycline,Capsule,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Preah Vihear ,A+M4,Antimalarial,MOH,138,"Mefloquine , Artesunate",Tablet,Unknown,Unknown,Health Clinic,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Tetracap,Antimalarial,"Masa Lab Co., Ltd",1071174,Tetracycline,Capsule,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Chloroquine,Antimalarial,Unknown,Missing,Chloroquine,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Tetracycline,Antimalarial,Brainy Pharmaceutical,Missing,Tetracycline,Capsule,Unknown,Unknown,Pharmacy,2003,15/01/2003,Fail,Screening,Substandard,No,Unknown
Asia,Cambodia,Battambang,Sinmoquin,Antimalarial,Siam,1440528,Chloroquine,Tablet,Unknown,Unknown,Pharmacy,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Artesunate,Antimalarial,"Guilin Pharmaceutical Co., Ltd",21101,Artesunate,Tablet,Unknown,Unknown,Warehouse,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,A+M4,Antimalarial,MOH,33,"Artesunate, Mefloquine ",Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Artesunate,Antimalarial,"Guilin Pharmaceutical Co., Ltd",10301,Artesunate,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pailin,A+M4,Antimalarial,MOH,125,"Artesunate, Mefloquine ",Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Quinine,Antimalarial,Holden,G-01,Quinine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Mephaquine,Antimalarial,Mepha Ltd,151116,Mefloquine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Preah Vihear ,Quinine Sulfate,Antimalarial,Unknown,Missing,Quinine ,Tablet,Unknown,Unknown,Health Clinic,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Preah Vihear ,Malarine,Antimalarial,MOH,141,"Artesunate, Mefloquine ",Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pailin,Artecom,Antimalarial,Unknown,990405,"Dihydroartemisinin, Piperaquine",Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Preah Vihear ,Tetracycline,Antimalarial,Code Kerdrug,25210,Tetracycline,Capsule,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pailin,Nitaquine,Antimalarial,"Utopian Co., Ltd",187TN7,Chloroquine,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Tetracycline,Antimalarial,"Chankit trading Ltd, Part",12103,Tetracycline,Capsule,Unknown,Unknown,Warehouse,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Preah Vihear ,Quinine,Antimalarial,Unknown,Missing,Quinine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pailin,Quinine,Antimalarial,Brainy Pharmaceutical,20530,Quinine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Screening,Wrong API,No,Unknown
Asia,Cambodia,Preah Vihear ,Quinine Sulfate,Antimalarial,Unknown,Missing,Quinine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Compendial,Wrong API,No,Unknown
Asia,Cambodia,Pailin,Utomycin,Antimalarial,"Utopian Co., Ltd",1A992/44,Tetracycline,Capsule,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pailin,Mephaquine,Antimalarial,Mepha Ltd,151116,Mefloquine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Preah Vihear ,Artesunate,Antimalarial,"Guilin Pharmaceutical Co., Ltd",20801,Artesunate,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Tetra-MS,Antimalarial,MS,32,Tetracycline,Capsule,Unknown,Unknown,Pharmacy,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Mefloquine,Antimalarial,Gateway Pharmaceuticals,55187,Mefloquine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Quinine Sulfate,Antimalarial,Brainy Pharmaceutical,20530,Quinine ,Tablet,Unknown,Unknown,Pharmacy,2003,15/01/2003,Fail,Screening,Wrong API,No,Unknown
Asia,Cambodia,Pailin,Artesunate,Antimalarial,"Guilin Pharmaceutical Co., Ltd",20801,Artesunate,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Preah Vihear ,A+M4,Antimalarial,MOH,157,"Artesunate, Mefloquine ",Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Nitaquine,Antimalarial,"Utopian Co., Ltd",833 TN7,Chloroquine,Tablet,Unknown,Unknown,Pharmacy,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Chloroquine,Antimalarial,Unknown,18052,Chloroquine,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Preah Vihear ,Mefloquine,Antimalarial,Unknown,Missing,Mefloquine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Quinine Sulfate,Antimalarial,Brainy Pharmaceutical,20530,Quinine ,Tablet,Unknown,Unknown,Pharmacy,2003,15/01/2003,Fail,Compendial,Wrong API,No,Unknown
Asia,Cambodia,Pursat,Artesunate,Antimalarial,"Guilin Pharmaceutical Co., Ltd",21101,Artesunate,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pailin,Tetracycline,Antimalarial,GP Pharma Ltd,Missing,Tetracycline,Capsule,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Compendial,Missing,No,Unknown
Asia,Cambodia,Pursat,Artesunate,Antimalarial,"Guilin Pharmaceutical Co., Ltd",10301,Artesunate,Tablet,Unknown,Unknown,Warehouse,2003,15/01/2003,Fail,Compendial,No API,Yes,Unknown
Asia,Cambodia,Pailin,Chloroquine,Antimalarial,Unknown,7803,Chloroquine,Tablet,Unknown,Unknown,Health Clinic,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pailin,Nivaquine,Antimalarial,Unknown,669TN7,Chloroquine,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Quinine Sulfate,Antimalarial,Holden,G 01,Quinine ,Tablet,Unknown,Unknown,Pharmacy,2003,15/01/2003,Pass,Compendial,N/A,No,N/A
Asia,Cambodia,Battambang,Mefloquine,Antimalarial,Mepha Ltd,151283,Mefloquine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Preah Vihear ,Tetracycline,Antimalarial,Unknown,Missing,Tetracycline,Capsule,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Compendial,No API,Yes,Unknown
Asia,Cambodia,Preah Vihear ,Tetracycline,Antimalarial,Unknown,10516,Tetracycline,Capsule,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pailin,Quinine,Antimalarial,Unknown,Missing,Quinine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Compendial,Wrong API,No,Unknown
Asia,Cambodia,Pailin,Malarine,Antimalarial,MOH,Missing,"Artesunate, Mefloquine ",Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pailin,Tetra,Antimalarial,Brainy Pharmaceutical,Missing,Tetracycline,Capsule,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Screening,Substandard,No,Unknown
Asia,Cambodia,Pailin,Artesunate,Antimalarial,"Guilin Pharmaceutical Co., Ltd",20402,Artesunate,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Preah Vihear ,Chloroquine,Antimalarial,Unknown,Missing,Chloroquine,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Quinine,Antimalarial,Brainy Pharmaceutical,20530,Quinine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Compendial,Wrong API,No,Unknown
Asia,Cambodia,Preah Vihear ,Chloroquine,Antimalarial,Unknown,Missing,Chloroquine,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Cotexin,Antimalarial,"Beijing Wanhui Double-Crane Pharmaceutical Co., Ltd",20817,Dihydroartemisinin,Tablet,Unknown,Unknown,Warehouse,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Chloroquine,Antimalarial,Unknown,TC03G02,Chloroquine,Tablet,Unknown,Unknown,Warehouse,2003,15/01/2003,Fail,Compendial,Missing,No,Unknown
Asia,Cambodia,Pursat,Tetracycline,Antimalarial,Unknown,321731,Tetracycline,Capsule,Unknown,Unknown,Warehouse,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pailin,Mephaquine,Antimalarial,Mepha Ltd,151116,Mefloquine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pailin,Quinine,Antimalarial,Brainy Pharmaceutical,20530,Quinine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Compendial,Wrong API,No,Unknown
Asia,Cambodia,Battambang,Quinine Sulfate,Antimalarial,Brainy Pharmaceutical,20530,Quinine ,Tablet,Unknown,Unknown,Pharmacy,2003,15/01/2003,Fail,Screening,Wrong API,No,Unknown
