Department,Manufacturer,Result
Medina,Emcure Pharmaceuticals Ltd,0
Diourbel,Aurobindo Pharmaceuticals Ltd,1
Diourbel,Emcure Pharmaceuticals Ltd,1
Diourbel,Emcure Pharmaceuticals Ltd,1
Saint Louis (City),Aurobindo Pharmaceuticals Ltd,1
Dioum,Aurobindo Pharmaceuticals Ltd,1
Saint Louis (City),Aurobindo Pharmaceuticals Ltd,1
Kolda (City),Lupin Limited,1
Velingara,Lupin Limited,1
Velingara,Macleods Pharmaceuticals Ltd,1
Velingara,Hetdero Drugs Limited,1
Tambacounda,Matrix Laboratories Limited,1
Koumpantoum,Macleods Pharmaceuticals Ltd,1
Kaolack (City),Mepha Ltd,0
Saint Louis (City),Emcure Pharmaceuticals Ltd,1
Saint Louis (City),Mepha Ltd,0
Saint Louis (City),Mepha Ltd,0
Saint Louis (City),Mepha Ltd,0
Kebemer,Mepha Ltd,0
Diourbel,Aurobindo Pharmaceuticals Ltd,0
Diourbel,Aurobindo Pharmaceuticals Ltd,0
Diourbel,Aurobindo Pharmaceuticals Ltd,0
Diourbel,Aurobindo Pharmaceuticals Ltd,0
Diourbel,Macleods Pharmaceuticals Ltd,0
Diourbel,Sanofi Aventis,0
Diourbel,Sanofi Aventis,0
Diourbel,Aurobindo Pharmaceuticals Ltd,0
Kaffrine (City),Gracure Pharma Ltd,0
Saint Louis (City),Expharm,0
Kaolack (City),Ajanta Pharma Limited,0
Dioum,Hetdero Drugs Limited,0
Saint Louis (City),Cupin,0
Matam (City),Matrix Laboratories Limited,0
Mbour-Thies,Aurobindo Pharmaceuticals Ltd,0
Mbour-Thies,Aurobindo Pharmaceuticals Ltd,0
Rufisque-Dakar,Matrix Laboratories Limited,0
Thies,Matrix Laboratories Limited,0
Tivaoune,Matrix Laboratories Limited,0
Mbour-Thies,Matrix Laboratories Limited,0
Fann- Dakar,Matrix Laboratories Limited,0
Diourbel,Matrix Laboratories Limited,0
Diourbel,Matrix Laboratories Limited,0
Diourbel,Matrix Laboratories Limited,0
Diourbel,Matrix Laboratories Limited,0
Saint Louis (City),Sanofi Aventis,0
Saint Louis (City),Sanofi Aventis,0
Kebemer,Ajanta Pharma Limited,0
Saint Louis (City),Ajanta Pharma Limited,0
Saint Louis (City),Cupin,0
Saint Louis (City),Emcure Pharmaceuticals Ltd,0
Richard Toll,Matrix Laboratories Limited,0
Kaolack (City),Innothera Chouzy,0
Saint Louis (City),Sanofi Aventis,0
Dioum,Sanofi Aventis,0
Kebemer,Ajanta Pharma Limited,0
Saint Louis (City),Ajanta Pharma Limited,0
Saint Louis (City),Macleods Pharmaceuticals Ltd,0
Saint Louis (City),Macleods Pharmaceuticals Ltd,0
Kaolack (City),Innothera Chouzy,0
Saint Louis (City),Novartis,0
Kaolack (City),Ajanta Pharma Limited,0
Kaolack (City),Ajanta Pharma Limited,0
Kaolack (City),Sanofi Synthelabo,0
Kaolack (City),Sanofi Synthelabo,0
Kaolack (City),Bliss Gvis Pharma Ltd,0
Kaolack (City),Gracure Pharma Ltd,0
Rufisque-Dakar,Emcure Pharmaceuticals Ltd,0
Medina,Emcure Pharmaceuticals Ltd,0
Saint Louis (City),Emcure Pharmaceuticals Ltd,0
Diourbel,Matrix Laboratories Limited,0
Fann- Dakar,Matrix Laboratories Limited,0
Dioum,El Nasr,0
Kanel,Lupin Limited,1
Fann- Dakar,Emcure Pharmaceuticals Ltd,0
Hann,Macleods Pharmaceuticals Ltd,0
Thies,Emcure Pharmaceuticals Ltd,0
Tivaoune,Aurobindo Pharmaceuticals Ltd,0
Thies,Emcure Pharmaceuticals Ltd,0
Hann,Emcure Pharmaceuticals Ltd,0
Ouro-Sogui,Emcure Pharmaceuticals Ltd,0
Kanel,Emcure Pharmaceuticals Ltd,0
Koumpantoum,Aurobindo Pharmaceuticals Ltd,0
Kolda (City),Aurobindo Pharmaceuticals Ltd,0
Saint Louis (City),Emcure Pharmaceuticals Ltd,0
Richard Toll,Emcure Pharmaceuticals Ltd,0
Saint Louis (City),Macleods Pharmaceuticals Ltd,0
Saint Louis (City),Novartis,0
Saint Louis (City),Sanofi Aventis,0
Kaolack (City),Sanofi Aventis,0
Saint Louis (City),Novartis,0
Saint Louis (City),Novartis,0
Saint Louis (City),Macleods Pharmaceuticals Ltd,0
Saint Louis (City),Macleods Pharmaceuticals Ltd,0
Diourbel,Lupin Limited,0
Diourbel,Emcure Pharmaceuticals Ltd,0
Diourbel,Novartis,0
Diourbel,Lupin Limited,0
Diourbel,Lupin Limited,0
Diourbel,Emcure Pharmaceuticals Ltd,0
Diourbel,Matrix Laboratories Limited,0
Diourbel,Emcure Pharmaceuticals Ltd,0
Diourbel,Emcure Pharmaceuticals Ltd,0
Diourbel,Matrix Laboratories Limited,0
Medina,Pfizer,0
Thies,Emcure Pharmaceuticals Ltd,0
Tivaoune,Emcure Pharmaceuticals Ltd,0
Rufisque-Dakar,Matrix Laboratories Limited,0
Mbour-Thies,Emcure Pharmaceuticals Ltd,0
Ouro-Sogui,Matrix Laboratories Limited,0
Tambacounda,Hetdero Drugs Limited,0
Tambacounda,Matrix Laboratories Limited,0
Kolda (City),Matrix Laboratories Limited,0
Kolda (City),Matrix Laboratories Limited,0
Saint Louis (City),Sanofi Aventis,0
Saint Louis (City),Sanofi Aventis,0
Saint Louis (City),Sanofi Aventis,0
Saint Louis (City),Matrix Laboratories Limited,0
Richard Toll,Matrix Laboratories Limited,0
Saint Louis (City),Matrix Laboratories Limited,0
Saint Louis (City),Novartis,0
Saint Louis (City),Novartis,0
Kebemer,Novartis,0
Medina,Macleods Pharmaceuticals Ltd,1
Kanel,Aurobindo Pharmaceuticals Ltd,1
Koumpantoum,Emcure Pharmaceuticals Ltd,1
Tambacounda,Aurobindo Pharmaceuticals Ltd,1
Velingara,Aurobindo Pharmaceuticals Ltd,1
Velingara,Emcure Pharmaceuticals Ltd,1
Kolda (City),Aurobindo Pharmaceuticals Ltd,1
Kolda (City),Macleods Pharmaceuticals Ltd,1
Diourbel,Sanofi Aventis,1
Kaolack (City),Mepha Ltd,0
Saint Louis (City),Macleods Pharmaceuticals Ltd,0
Dioum,Macleods Pharmaceuticals Ltd,0
Diourbel,Matrix Laboratories Limited,1
Kanel,Sanofi Aventis,0
Kolda (City),Mepha Ltd,0
Kaolack (City),Mepha Ltd,0
Diourbel,Lupin Limited,1
Thies,Macleods Pharmaceuticals Ltd,0
Rufisque-Dakar,Macleods Pharmaceuticals Ltd,0
Matam (City),Matrix Laboratories Limited,0
Ouro-Sogui,Macleods Pharmaceuticals Ltd,0
Ouro-Sogui,Matrix Laboratories Limited,0
Ouro-Sogui,Macleods Pharmaceuticals Ltd,0
Kanel,Macleods Pharmaceuticals Ltd,0
Tambacounda,Macleods Pharmaceuticals Ltd,0
Kolda (City),Matrix Laboratories Limited,0
Kolda (City),Macleods Pharmaceuticals Ltd,0
Saint Louis (City),Sanofi Aventis,0
Saint Louis (City),Sanofi Aventis,0
Saint Louis (City),Macleods Pharmaceuticals Ltd,0
Richard Toll,Macleods Pharmaceuticals Ltd,0
Richard Toll,Matrix Laboratories Limited,0
Richard Toll,Matrix Laboratories Limited,0
Saint Louis (City),Macleods Pharmaceuticals Ltd,0
Saint Louis (City),Expharm,0
Diourbel,Odypharm Ltd,0
Guediawaye,Sanofi Aventis,0
Ouro-Sogui,Sanofi Aventis,0
Saint Louis (City),Sanofi Aventis,0
Saint Louis (City),Sanofi Aventis,0
Saint Louis (City),Expharm,0
Kaolack (City),Gracure Pharma Ltd,0
Diourbel,Novartis,0
Ouro-Sogui,Novartis,0
Diourbel,Aurobindo Pharmaceuticals Ltd,0
Matam (City),Novartis,0
Tambacounda,Imex Health,0
Kedougou (City),Imex Health,0
Tambacounda,Imex Health,0
Koumpantoum,Novartis,0
Diourbel,Ajanta Pharma Limited,0
Diourbel,Macleods Pharmaceuticals Ltd,0
Guediawaye,Macleods Pharmaceuticals Ltd,0
Thies,Macleods Pharmaceuticals Ltd,0
Thies,Macleods Pharmaceuticals Ltd,0
Ouro-Sogui,Macleods Pharmaceuticals Ltd,0
Ouro-Sogui,Sanofi Aventis,0
Tambacounda,Macleods Pharmaceuticals Ltd,0
Tambacounda,Macleods Pharmaceuticals Ltd,0
Kedougou (City),Macleods Pharmaceuticals Ltd,0
Koumpantoum,Macleods Pharmaceuticals Ltd,0
Tambacounda,Sanofi Aventis,0
Diourbel,Ajanta Pharma Limited,0
Ouro-Sogui,Sanofi Aventis,0
Kolda (City),Sanofi Aventis,0
Fann- Dakar,Hetdero Drugs Limited,0
Thies,Hetdero Drugs Limited,0
Hann,Hetdero Drugs Limited,0
Thies,Macleods Pharmaceuticals Ltd,0
Mbour-Thies,Hetdero Drugs Limited,0
Matam (City),Hetdero Drugs Limited,0
Ouro-Sogui,Hetdero Drugs Limited,0
Kanel,Hetdero Drugs Limited,0
Kolda (City),Hetdero Drugs Limited,0
Fann- Dakar,Matrix Laboratories Limited,0
Rufisque-Dakar,Matrix Laboratories Limited,0
Hann,Macleods Pharmaceuticals Ltd,1
Kanel,Matrix Laboratories Limited,1
Kanel,Mepha Ltd,0
Kanel,Sanofi Aventis,0
Kanel,Sanofi Aventis,0
Koumpantoum,Matrix Laboratories Limited,0
Kolda (City),Macleods Pharmaceuticals Ltd,1
Kolda (City),Macleods Pharmaceuticals Ltd,1
Kolda (City),Mepha Ltd,0
Saint Louis (City),F.Hoffmann-La Roche Ltd,0
Saint Louis (City),F.Hoffmann-La Roche Ltd,0
Kaolack (City),F.Hoffmann-La Roche Ltd,0
Ouro-Sogui,EGR pharm Ltd,0
Medina,Ipca Laboratories,1
Diourbel,Macleods Pharmaceuticals Ltd,1
Ouro-Sogui,Macleods Pharmaceuticals Ltd,0
Ouro-Sogui,Macleods Pharmaceuticals Ltd,1
Kolda (City),Macleods Pharmaceuticals Ltd,1
Hann,Macleods Pharmaceuticals Ltd,1
Medina,Ajanta Pharma Limited,1
Medina,Hetdero Drugs Limited,1
Kolda (City),Matrix Laboratories Limited,0
Kolda (City),Hetdero Drugs Limited,0
Diourbel,Novartis,0
Diourbel,Bliss Gvis Pharma Ltd,0
Diourbel,Novartis,0
Diourbel,Novartis,0
Diourbel,Novartis,0
Diourbel,Novartis,0
Diourbel,Macleods Pharmaceuticals Ltd,0
Diourbel,Macleods Pharmaceuticals Ltd,0
Diourbel,Macleods Pharmaceuticals Ltd,0
Diourbel,Macleods Pharmaceuticals Ltd,0
Fann- Dakar,Macleods Pharmaceuticals Ltd,0
Hann,Macleods Pharmaceuticals Ltd,0
Guediawaye,Macleods Pharmaceuticals Ltd,0
Guediawaye,Macleods Pharmaceuticals Ltd,0
Rufisque-Dakar,Macleods Pharmaceuticals Ltd,0
Mbour-Thies,Macleods Pharmaceuticals Ltd,0
Mbour-Thies,Macleods Pharmaceuticals Ltd,0
Thies,Macleods Pharmaceuticals Ltd,0
Thies,Macleods Pharmaceuticals Ltd,0
Hann,Novartis,0
Guediawaye,Novartis,0
Medina,Ajanta Pharma Limited,0
Medina,EGR pharm Ltd,0
Rufisque-Dakar,Macleods Pharmaceuticals Ltd,0
Ouro-Sogui,Macleods Pharmaceuticals Ltd,0
Tambacounda,Macleods Pharmaceuticals Ltd,0
Tambacounda,Macleods Pharmaceuticals Ltd,0
Kedougou (City),Macleods Pharmaceuticals Ltd,0
Kedougou (City),Macleods Pharmaceuticals Ltd,0
Koumpantoum,Macleods Pharmaceuticals Ltd,0
Koumpantoum,Novartis,0
Tambacounda,Novartis,0
Tambacounda,Novartis,0
Tambacounda,Novartis,0
Kolda (City),Macleods Pharmaceuticals Ltd,0
Kolda (City),Macleods Pharmaceuticals Ltd,0
Kolda (City),Macleods Pharmaceuticals Ltd,0
Velingara,Novartis,0
Velingara,Novartis,0
Kolda (City),Novartis,0
Diourbel,Novartis,0
Diourbel,Novartis,0
Diourbel,Novartis,0
Diourbel,Novartis,0
Thies,Macleods Pharmaceuticals Ltd,0
Hann,Novartis,0
Guediawaye,Novartis,0
Matam (City),Novartis,0
Matam (City),Novartis,0
Matam (City),Ajanta Pharma Limited,0
Ouro-Sogui,Novartis,0
Ouro-Sogui,Novartis,0
Ouro-Sogui,Ajanta Pharma Limited,0
Tambacounda,Novartis,0
Tambacounda,Novartis,0
Tambacounda,Novartis,0
Tambacounda,Novartis,0
Tambacounda,Novartis,0
Kolda (City),Novartis,0
Kolda (City),Novartis,0
Velingara,Novartis,0
Velingara,Novartis,0
Diourbel,Novartis,1
Diourbel,Macleods Pharmaceuticals Ltd,1
Diourbel,Mepha Ltd,0
Diourbel,Novartis,1
Diourbel,Macleods Pharmaceuticals Ltd,1
Diourbel,Macleods Pharmaceuticals Ltd,1
Guediawaye,Novartis,0
Guediawaye,Ajanta Pharma Limited,1
Fann- Dakar,Macleods Pharmaceuticals Ltd,1
Matam (City),Macleods Pharmaceuticals Ltd,1
Ouro-Sogui,Macleods Pharmaceuticals Ltd,1
Kanel,Macleods Pharmaceuticals Ltd,1
Ouro-Sogui,Macleods Pharmaceuticals Ltd,1
Ouro-Sogui,Macleods Pharmaceuticals Ltd,1
Kanel,Macleods Pharmaceuticals Ltd,1
Ouro-Sogui,Macleods Pharmaceuticals Ltd,1
Tambacounda,Macleods Pharmaceuticals Ltd,1
Tambacounda,Macleods Pharmaceuticals Ltd,1
Velingara,Macleods Pharmaceuticals Ltd,1
Velingara,Macleods Pharmaceuticals Ltd,1
Kolda (City),Macleods Pharmaceuticals Ltd,1
Kolda (City),Mepha Ltd,0
Diourbel,Novartis,1
Diourbel,Novartis,1
Diourbel,Novartis,1
Diourbel,Novartis,1
Diourbel,Novartis,1
Guediawaye,Novartis,1
Hann,Matrix Laboratories Limited,1
Tambacounda,Macleods Pharmaceuticals Ltd,1
Kolda (City),Novartis,0
Kolda (City),Novartis,0
Kolda (City),Sanofi Aventis,0
Kolda (City),Sanofi Aventis,0
Diourbel,Sanofi Aventis,0
Diourbel,Sanofi Aventis,0
Diourbel,Expharm,0
Ouro-Sogui,Novartis,0
Kedougou (City),Pfizer,0
Rufisque-Dakar,Emcure Pharmaceuticals Ltd,0
Guediawaye,Emcure Pharmaceuticals Ltd,0
Guediawaye,Emcure Pharmaceuticals Ltd,0
Koumpantoum,Emcure Pharmaceuticals Ltd,0
Tambacounda,Matrix Laboratories Limited,0
Tambacounda,Emcure Pharmaceuticals Ltd,0
Tambacounda,Emcure Pharmaceuticals Ltd,0
Tambacounda,Cipla Ltd,0
Koumpantoum,Novartis,0
Tambacounda,Sanofi Aventis,0
Koumpantoum,Sanofi Aventis,0
Tambacounda,Sanofi Aventis,0
Kedougou (City),Sanofi Aventis,0
Kolda (City),Cipla Ltd,0
Kolda (City),Matrix Laboratories Limited,0
Kolda (City),Novartis,0
Guediawaye,Pfizer,0
Tambacounda,Novartis,0
Kolda (City),Aurobindo Pharmaceuticals Ltd,0
Diourbel,Expharm,0
Kanel,Sanofi Aventis,0
Ouro-Sogui,Sanofi Aventis,0
Tambacounda,Imex Health,0
Kolda (City),Novartis,0
Diourbel,Innothera Chouzy,0
Kolda (City),Aurobindo Pharmaceuticals Ltd,0
Medina,Gracure Pharma Ltd,0
Tambacounda,Expharm,0
Kolda (City),Expharm,0
Diourbel,Ajanta Pharma Limited,0
Guediawaye,Gracure Pharma Ltd,0
Kanel,Expharm,0
