DeptName,Bounds,Util_lo,Util_lo_CI,Util_hi,Util_hi_CI
Bakel,81.0,0.03064355153681042,"(0.02700604855018618, 0.03428105452343466)",0.39735040012054057,"(0.3228445265792086, 0.47185627366187255)"
Bambey,81.0,0.033820023089148776,"(0.03020693763297544, 0.037433108545322114)",0.3909410483199789,"(0.17484323337054342, 0.6070388632694144)"
Bignona,81.0,0.02723165008444184,"(0.023433900076549108, 0.03102940009233457)",0.3305397870143132,"(0.04977432956582106, 0.6113052444628053)"
Birkilane,81.0,0.03488615614497803,"(0.03170438652796648, 0.038067925761989585)",0.30565482288372614,"(0.12441069855242226, 0.48689894721503)"
Bounkiling,81.0,0.0033486687457546793,"(0.0005542431655207736, 0.006143094325988585)",0.171532262943197,"(0.06559403533401564, 0.2774704905523784)"
Dagana,81.0,0.003228396259618904,"(0.0020413168554505035, 0.004415475663787305)",0.10799885688269484,"(0.040419961112283076, 0.1755777526531066)"
Dakar,81.0,0.004494813201763037,"(0.0030774942275542116, 0.005912132175971863)",0.25436518659524054,"(0.22144682433334495, 0.28728354885713614)"
Diourbel,81.0,0.0021882381559859,"(0.001420369119129461, 0.002956107192842339)",0.1750785946438551,"(0.16582940136086144, 0.18432778792684879)"
Fatick,81.0,0.0304905498828294,"(0.02656624219566517, 0.03441485756999363)",0.4406242209113085,"(0.1830332224686373, 0.6982152193539797)"
Foundiougne,81.0,0.03343171090228125,"(0.030613438169211804, 0.0362499836353507)",0.33661094505473343,"(0.14811304642091372, 0.5251088436885532)"
Gossas,81.0,0.03935727901220076,"(0.03665288175731618, 0.042061676267085346)",0.37986623849993073,"(0.28114204188166525, 0.4785904351181962)"
Goudiry,81.0,0.022797876317975252,"(0.01927655819364915, 0.026319194442301352)",0.2516872604301792,"(0.07019532333071332, 0.43317919752964507)"
Goudoump,81.0,0.034750175873492495,"(0.03095269379653942, 0.03854765795044557)",0.36311831935477024,"(0.15386392415989292, 0.5723727145496476)"
