DeptName,Bounds,Util_lo,Util_lo_CI,Util_hi,Util_hi_CI
Bakel,81,0.029162688,"(0.02374176013115914, 0.03458361515316)",0.390680636,"(0.38595297319382027, 0.3954082997100663)"
Bambey,81,0.02986046,"(0.02405017643142493, 0.03567074269647641)",0.379002775,"(0.3737541827074189, 0.3842513663000844)"
Bignona,81,0.022809125,"(0.015578613119973994, 0.03003963620016492)",0.312500129,"(0.30760789372496156, 0.3173923636609448)"
Birkilane,81,0.033602756,"(0.028450135486732364, 0.038755376857501744)",0.29495862,"(0.28937533040854113, 0.3005419091025292)"
Bounkiling,81,0.005311942,"(0.0014257997591684557, 0.009198084107982396)",0.148423778,"(0.1453044707311033, 0.1515430844418173)"
Dagana,81,0.003662237,"(0.0014632818192499286, 0.005861192585781438)",0.117128937,"(0.1149831792953222, 0.11927469445784311)"
Dakar,81,0.004266731,"(0.002396877213374893, 0.006136583835193221)",0.24918877,"(0.2444668838519597, 0.25391065515963973)"
Diourbel,81,0.002448798,"(0.0011566831591149906, 0.0037409124757505907)",0.187489086,"(0.1827902244125621, 0.19218794824134555)"
Fatick,81,0.03645808,"(0.030764517780196954, 0.04215164181253961)",0.375973433,"(0.3698319690289136, 0.3821148968128103)"
Foundiougne,81,0.031918436,"(0.026723476688182757, 0.037113396297776546)",0.3138836,"(0.3075489483672875, 0.3202182522494077)"
Gossas,81,0.037805689,"(0.033474639344373, 0.042136738563190335)",0.372696121,"(0.3675744038969153, 0.3778178390753144)"
Goudiry,81,0.020994169,"(0.01526086816511274, 0.02672746948211646)",0.268728782,"(0.26498536578303344, 0.27247219781746423)"
Goudoump,81,0.03519477,"(0.029662193667872927, 0.04072734538775613)",0.355355872,"(0.35097738641657195, 0.359734357178942)"
Guediawaye,81,0.004583966,"(0.0035244708693209503, 0.005643461401360739)",0.164752041,"(0.16173954667756085, 0.16776453582619588)"
Guinguineo,81,0.023890948,"(0.01801713898337809, 0.029764757243764706)",0.249576125,"(0.2458965718139794, 0.2532556791586167)"
Kaffrine,81,0.022511085,"(0.016463606966896194, 0.028558563322109265)",0.168494672,"(0.16611500466456697, 0.17087433834706012)"
Kanel,81,0.007106432,"(0.00549770189385157, 0.008715162125348286)",0.161171343,"(0.15744929656400686, 0.16489338871784298)"
Kaolack,81,0.008056204,"(0.005101913124880397, 0.01101049411163224)",0.288687334,"(0.2837714137486138, 0.2936032544427114)"
Kebemer,81,0.008327187,"(0.004342852864551716, 0.012311522077718351)",0.155848073,"(0.15367938221318767, 0.15801676450941926)"
Kedougou,81,0.004300409,"(0.0018032712633484493, 0.0067975464487410875)",0.190144906,"(0.18710790492263385, 0.1931819066665561)"
Keur Massar,81,0.014361937,"(0.0085590589769442, 0.020164815478308284)",0.308889789,"(0.30331019705173645, 0.3144693810650452)"
Kolda,81,0.002499295,"(0.0008558880315145956, 0.004142701910916813)",0.1666047,"(0.16192871188237667, 0.17128068900597349)"
Koumpentoum,81,0.002583308,"(0.0013492104992227638, 0.0038174059962319262)",0.124789148,"(0.12145381603180816, 0.12812447957031914)"
Koungheul,81,0.010755915,"(0.005579298366585661, 0.01593253145624196)",0.36051397,"(0.3545193854481834, 0.3665085551241365)"
Linguere,81,0.017584659,"(0.010864355644923052, 0.024304962203405722)",0.288559793,"(0.2840071496511545, 0.29311243565380174)"
Louga,81,0.044570011,"(0.041772978941379435, 0.04736704280721149)",0.354734189,"(0.34993061230100153, 0.3595377651823455)"
Malem Hoddar,81,0.033433729,"(0.027856211091021876, 0.03901124648581167)",0.352401833,"(0.347354331763265, 0.3574493343351701)"
Matam,81,0.002245,"(0.000969903334238586, 0.003519395674246084)",0.168467687,"(0.16491138703167785, 0.17202398771655147)"
Mbacke,81,0.038313093,"(0.033593099092165346, 0.043033087694855254)",0.284315045,"(0.28005389912150314, 0.2885761914803826)"
Mbour,81,0.003673131,"(0.0019289801803701323, 0.005417282170462556)",0.15322035,"(0.1489806549171444, 0.15746004606570274)"
Medina Yoro Foulah,70,0.033362072,"(0.027666626536849037, 0.039057516823529426)",0.310730537,"(0.3064495556393023, 0.31501151800970995)"
Nioro du Rip,81,0.022429527,"(0.01510733125357433, 0.02975172317987429)",0.349777189,"(0.34505136122100843, 0.354503017490833)"
Oussouye,81,0.005585293,"(-0.0019367017484785976, 0.013107287759735797)",0.232782795,"(0.22828351222859844, 0.23728207846687788)"
Pikine,81,0.044667246,"(0.04183918516820029, 0.04749530637987576)",0.305638549,"(0.30202778632840577, 0.30924931076005535)"
Podor,81,0.010002709,"(0.005416902620176245, 0.014588516159722786)",0.265680953,"(0.2618305305709505, 0.26953137445014264)"
Ranerou Ferlo,81,0.042866618,"(0.03947336188053718, 0.046259874580792726)",0.353669039,"(0.35012701544012614, 0.3572110616635662)"
Rufisque,81,0.001538335,"(0.0008866775664095883, 0.0021899919302228454)",0.080606939,"(0.0786704100236264, 0.082543467506909)"
Saint-Louis,81,0.002921127,"(0.0018509001797593072, 0.003991354217296461)",0.126323141,"(0.12290000760660647, 0.12974627365439773)"
Salemata,81,0.008633561,"(0.001842581851622782, 0.015424540709254586)",0.252724077,"(0.2486159239967929, 0.2568322297283725)"
Saraya,81,0.033427415,"(0.027813969169955044, 0.03904086003749896)",0.356598081,"(0.3512152326217226, 0.36198092964034245)"
