DeptName,Bounds,Util_lo,Util_lo_CI,Util_hi,Util_hi_CI
Bakel,81,0.0003717514446901493,"(0.0003391484633671338, 0.00040435442601316485)",0.00701812682533573,"(0.006896057367566044, 0.0071401962831054155)"
Bambey,81,0.0006856065480100315,"(0.0006305622348496964, 0.0007406508611703666)",0.008939962590558875,"(0.00882666016776193, 0.009053265013355821)"
Bignona,81,0.00045459689530819025,"(0.00040070446236856183, 0.0005084893282478187)",0.006847135892022765,"(0.006718638896247547, 0.006975632887797983)"
Birkilane,81,0.0003423031386501907,"(0.0003041619608528112, 0.00038044431644757015)",0.0055013371081512885,"(0.005318947754133885, 0.005683726462168692)"
Bounkiling,81,0.00011831362543163193,"(8.311294802698654e-05, 0.00015351430283627732)",0.007020415560845816,"(0.0068017060332831725, 0.00723912508840846)"
Dagana,81,0.00014344237107977165,"(0.00011367335984996396, 0.00017321138230957933)",0.006858970438061662,"(0.006654488059340574, 0.00706345281678275)"
Dakar,81,0.00017392998786852631,"(0.0001525606173120031, 0.00019529935842504953)",0.00882085386004794,"(0.00866858256017014, 0.008973125159925738)"
Diourbel,81,6.278755483213327e-05,"(5.5181290157024776e-05, 7.039381950724177e-05)",0.005231925154218636,"(0.005134092021425285, 0.0053297582870119875)"
Fatick,81,0.0007102809922048814,"(0.0006488251393619304, 0.0007717368450478324)",0.009838206429857665,"(0.00968931330747691, 0.009987099552238421)"
Foundiougne,81,0.0007060338522775211,"(0.0006562249932332009, 0.0007558427113218413)",0.008933630705685786,"(0.00880599686247796, 0.00906126454889361)"
Gossas,81,0.0003035533870459073,"(0.000281856637271094, 0.00032525013682072057)",0.004860682041105846,"(0.004704087600254675, 0.005017276481957017)"
Goudiry,81,0.0002677500999999083,"(0.00024118341135448418, 0.0002943167886453324)",0.005227315514923753,"(0.005135476573808223, 0.005319154456039282)"
Goudoump,81,0.00035634109179683016,"(0.0003244204880681889, 0.0003882616955254714)",0.0055284607918906215,"(0.0053527578784685614, 0.0057041637053126815)"
Guediawaye,81,9.359990381535566e-05,"(7.995567310548068e-05, 0.00010724413452523063)",0.005885499379851694,"(0.005769444003011187, 0.006001554756692201)"
Guinguineo,81,0.0002464380813272382,"(0.00021842660022608484, 0.0002744495624283916)",0.00623027039803517,"(0.006080079568200392, 0.006380461227869949)"
Kaffrine,81,0.0002889803672777025,"(0.0002197058311184108, 0.0003582549034369942)",0.003099467814287271,"(0.0029952707348707697, 0.0032036648937037726)"
Kanel,81,0.00014069736199373573,"(0.00011579684424795067, 0.00016559787973952078)",0.007147618732930516,"(0.006960770062011762, 0.007334467403849271)"
Kaolack,81,0.000141637921093396,"(0.00010728292052059052, 0.0001759929216662015)",0.00658220095461004,"(0.006412968413635978, 0.006751433495584103)"
Kebemer,81,0.00021338636992523918,"(0.00016287997432135048, 0.0002638927655291279)",0.00429260467145634,"(0.004209405434773689, 0.004375803908138992)"
Kedougou,81,6.727795317018614e-05,"(5.579930413590617e-05, 7.875660220446612e-05)",0.004607595449584695,"(0.004495183608490411, 0.004720007290678979)"
Keur Massar,81,0.0005151375151236093,"(0.0004014771077160417, 0.0006287979225311768)",0.011991304979620782,"(0.011746355559365873, 0.01223625439987569)"
Kolda,81,9.743892714536573e-05,"(7.83465733265043e-05, 0.00011653128096422716)",0.007186807213193036,"(0.006961583649704367, 0.007412030776681705)"
Koumpentoum,81,9.657842105720293e-05,"(7.892423658839576e-05, 0.00011423260552601011)",0.007357645228561166,"(0.007175077689001691, 0.007540212768120641)"
Koungheul,81,0.00012028121592838614,"(8.285223007165055e-05, 0.00015771020178512174)",0.006708969001896575,"(0.006534409849770634, 0.006883528154022517)"
Linguere,81,0.00043354939753198485,"(0.00037601215893745543, 0.0004910866361265143)",0.008601947587664971,"(0.008419756226596103, 0.008784138948733838)"
Louga,81,0.0011587783629342097,"(0.0011211557160864527, 0.0011964010097819666)",0.009430985092389071,"(0.009307560230557677, 0.009554409954220466)"
Malem Hoddar,81,0.00030888058754074965,"(0.0002816785781317721, 0.0003360825969497272)",0.004823216184801582,"(0.004706513594338546, 0.004939918775264618)"
Matam,81,9.396228173236265e-05,"(7.471103268774648e-05, 0.00011321353077697882)",0.00799252989210586,"(0.007824022766242195, 0.008161037017969525)"
Mbacke,81,0.0027576560023522823,"(0.002596126146130806, 0.0029191858585737585)",0.021912032499577627,"(0.021715284011604052, 0.022108780987551202)"
Mbour,81,0.00022452619673318797,"(0.00018014070629335244, 0.0002689116871730235)",0.011452600093393633,"(0.011188322151057861, 0.011716878035729406)"
Medina Yoro Foulah,81,0.0003181032568952413,"(0.000285204772095482, 0.00035100174169500065)",0.006138441575622711,"(0.005982712987789823, 0.006294170163455598)"
Nioro du Rip,81,0.0005956685640253756,"(0.0005040889476849997, 0.0006872481803657515)",0.011456709496697609,"(0.01127770434068534, 0.011635714652709878)"
Oussouye,81,9.565663664956592e-05,"(7.144317369722764e-05, 0.0001198700996019042)",0.005720580513924711,"(0.005552582009205775, 0.005888579018643647)"
Pikine,81,0.0017572861306052734,"(0.0017015450013901368, 0.00181302725982041)",0.013769536993140957,"(0.013657504044265134, 0.01388156994201678)"
Podor,81,0.00018093568214894162,"(0.0001331796156169851, 0.00022869174868089814)",0.007980187199850608,"(0.007789850481701555, 0.008170523917999661)"
