DeptName,Bounds,Util_lo,Util_lo_CI,Util_hi,Util_hi_CI
Bakel,81,0.05138524764145558,"(0.04449335150849976, 0.0582771437744114)",1.787774116573324,"(1.7461934216373294, 1.8293548115093188)"
Bambey,81,0.045377817860057235,"(0.03784242402132065, 0.052913211698793816)",1.495374244730634,"(1.4508099217620227, 1.5399385676992452)"
Bignona,81,0.039304174446186835,"(0.0296409706725953, 0.04896737821977837)",1.2017788642157825,"(1.155508490717338, 1.248049237714227)"
Birkilane,81,0.04252616735612946,"(0.038258946449886366, 0.04679338826237256)",1.054107581176872,"(1.0237454636488081, 1.084469698704936)"
Bounkiling,81,0.011311680390555523,"(0.006922613382933207, 0.01570074739817784)",0.7827467666162775,"(0.7503797778165975, 0.8151137554159575)"
Dagana,81,0.009884469692636344,"(0.007814295357050582, 0.011954644028222106)",0.3701833490645754,"(0.3543185889317755, 0.3860481091973753)"
Dakar,81,0.02870509695046053,"(0.02054411138434631, 0.03686608251657475)",1.879755886816227,"(1.8150460309454814, 1.9444657426869725)"
Diourbel,81,0.023495525220759816,"(0.01753424070582099, 0.02945680973569864)",1.6249680649859002,"(1.5722277856513784, 1.677708344320422)"
Fatick,81,0.041290192666927794,"(0.03380803088500528, 0.04877235444885031)",1.6108016310252182,"(1.5525972507455421, 1.6690060113048943)"
Foundiougne,81,0.04407310007265863,"(0.03813307842346347, 0.05001312172185379)",1.3561114959054237,"(1.3126320067313202, 1.3995909850795272)"
Gossas,81,0.05332221534835213,"(0.0448451611472791, 0.06179926954942516)",1.325829681138984,"(1.2634555735022843, 1.3882037887756837)"
Goudiry,81,0.02968583770183386,"(0.024809295074319948, 0.034562380329347775)",0.5794401832027631,"(0.5536197114384223, 0.605260654967104)"
Goudoump,81,0.04065978017173677,"(0.03168270394143491, 0.04963685640203863)",1.4745341193182924,"(1.4272008776572065, 1.5218673609793782)"
Guediawaye,81,0.007984626136902762,"(0.003757996137835562, 0.012211256135969961)",0.6220673995502537,"(0.59014233034938, 0.6539924687511274)"
Guinguineo,81,0.026697427561856557,"(0.022540306379006836, 0.03085454874470628)",0.42587494495202805,"(0.409844693179096, 0.4419051967249601)"
Kaffrine,81,0.03271412919532679,"(0.020398681974313604, 0.04502957641633998)",0.6286382460044706,"(0.591929230768109, 0.6653472612408322)"
Kanel,81,0.016506886094553863,"(0.011712389182243044, 0.021301383006864683)",1.2419757522169235,"(1.2020839450877645, 1.2818675593460824)"
Kaolack,81,0.06631040187744475,"(0.056063195503583074, 0.07655760825130642)",2.880674547301602,"(2.8277881331969326, 2.933560961406272)"
Kebemer,81,0.01946986181403787,"(0.014019813088296473, 0.024919910539779266)",0.4683233351063478,"(0.4551155160424898, 0.48153115417020587)"
Kedougou,81,0.01620397071964419,"(0.008818250225623103, 0.023589691213665276)",1.173865184946088,"(1.1403926019999986, 1.2073377678921773)"
Keur Massar,81,0.04413624393543358,"(0.03680628816030662, 0.051466199710560545)",1.9525563913107788,"(1.8928624382846948, 2.012250344336863)"
Kolda,81,0.018740678331106153,"(0.01316783600496052, 0.024313520657251786)",1.4815926643554818,"(1.4289381776777361, 1.5342471510332274)"
Koumpentoum,81,0.008746884751055006,"(0.006492681412311185, 0.011001088089798827)",0.7370455483157841,"(0.7061426099930372, 0.7679484866385309)"
Koungheul,81,0.05745215364905931,"(0.04630950163878822, 0.0685948056593304)",3.0599114057207686,"(2.99534159794419, 3.124481213497347)"
Linguere,81,0.02989566599881499,"(0.022194372227382075, 0.037596959770247906)",1.0415282640370336,"(1.0047803988360116, 1.0782761292380556)"
Louga,81,0.04976529141579533,"(0.04327561413867187, 0.056254968692918794)",1.0883489158837492,"(1.0300454911086234, 1.146652340658875)"
Malem Hoddar,81,0.04263228729941204,"(0.03503211661434591, 0.050232457984478174)",1.1909214197277933,"(1.1553961714028702, 1.2264466680527164)"
Matam,81,0.017230425415050377,"(0.011861234085728256, 0.022599616744372497)",1.6776427089166575,"(1.6383343087191164, 1.7169511091141985)"
Mbacke,81,0.0425313399142766,"(0.037243606428333464, 0.047819073400219736)",0.7504311626520703,"(0.7216966393557556, 0.7791656859483851)"
Mbour,81,0.017655548318778358,"(0.014602374141709618, 0.0207087224958471)",1.0753959072148689,"(1.0514132476312668, 1.099378566798471)"
Medina Yoro Foulah,81,0.04765794090015163,"(0.04144076156157439, 0.05387512023872887)",1.6452103430144547,"(1.5962281642027563, 1.694192521826153)"
Nioro du Rip,81,0.03150864531141906,"(0.02048265379198, 0.04253463683085812)",1.9769772476337195,"(1.9224225011766691, 2.03153199409077)"
Oussouye,81,0.026035067956264868,"(0.017845583825867095, 0.03422455208666264)",1.330297068973195,"(1.2849599453537621, 1.3756341925926279)"
Pikine,81,0.047844726793172754,"(0.04465664963187521, 0.051032803954470296)",0.7141044772214968,"(0.683729144352256, 0.7444798100907377)"
Podor,81,0.062093252615881056,"(0.0487621767162949, 0.07542432851546721)",2.0866757256098794,"(2.043670105918352, 2.1296813453014067)"
Ranerou Ferlo,81,0.05407429022215382,"(0.04726387145863953, 0.06088470898566811)",1.3253728253751973,"(1.2891241276407968, 1.3616215231095978)"
Rufisque,81,0.011951336722610506,"(0.010779411677290796, 0.013123261767930217)",0.6724966859984534,"(0.6615232058672618, 0.683470166129645)"
Saint-Louis,81,0.015443346111233325,"(0.010441579173274818, 0.020445113049191832)",1.466622762880803,"(1.4377511221086863, 1.4954944036529199)"
Salemata,81,0.036563851779511936,"(0.02808635989018171, 0.04504134366884216)",1.643617590250976,"(1.6003464353877703, 1.6868887451141816)"
Saraya,81,0.0528496995152139,"(0.04668213795287102, 0.05901726107755678)",1.5412745812873894,"(1.4946611744989085, 1.5878879880758703)"
