DeptName,Bounds,Util_lo,Util_lo_CI,Util_hi,Util_hi_CI
Bakel,81,0.0513852476414555,"(0.04449335150849976, 0.0582771437744114)",1.787774116573324,"(1.7461934216373294, 1.8293548115093188)"
Bambey,81,0.0453778178600572,"(0.03784242402132065, 0.052913211698793816)",1.495374244730634,"(1.4508099217620227, 1.5399385676992452)"
Bignona,81,0.0393041744461868,"(0.0296409706725953, 0.04896737821977837)",1.2017788642157825,"(1.155508490717338, 1.248049237714227)"
Birkilane,81,0.0425261673561294,"(0.038258946449886366, 0.04679338826237256)",1.054107581176872,"(1.0237454636488081, 1.084469698704936)"
Bounkiling,81,0.0113116803905555,"(0.006922613382933207, 0.01570074739817784)",0.7827467666162775,"(0.7503797778165975, 0.8151137554159575)"
Dagana,81,0.0098844696926363,"(0.007814295357050582, 0.011954644028222106)",0.3701833490645754,"(0.3543185889317755, 0.3860481091973753)"
Dakar,81,0.0287050969504605,"(0.02054411138434631, 0.03686608251657475)",1.879755886816227,"(1.8150460309454814, 1.9444657426869725)"
Diourbel,81,0.0234955252207598,"(0.01753424070582099, 0.02945680973569864)",1.6249680649859002,"(1.5722277856513784, 1.677708344320422)"
Fatick,81,0.0412901926669277,"(0.03380803088500528, 0.04877235444885031)",1.6108016310252182,"(1.5525972507455421, 1.6690060113048943)"
Foundiougne,81,0.0440731000726586,"(0.03813307842346347, 0.05001312172185379)",1.3561114959054237,"(1.3126320067313202, 1.3995909850795272)"
Gossas,81,0.0533222153483521,"(0.0448451611472791, 0.06179926954942516)",1.325829681138984,"(1.2634555735022843, 1.3882037887756837)"
Goudiry,81,0.0296858377018338,"(0.024809295074319948, 0.034562380329347775)",0.5794401832027631,"(0.5536197114384223, 0.605260654967104)"
Goudoump,81,0.0406597801717367,"(0.03168270394143491, 0.04963685640203863)",1.4745341193182924,"(1.4272008776572065, 1.5218673609793782)"
Guediawaye,81,0.0079846261369027,"(0.003757996137835562, 0.012211256135969961)",0.6220673995502537,"(0.59014233034938, 0.6539924687511274)"
Guinguineo,81,0.0266974275618565,"(0.022540306379006836, 0.03085454874470628)",0.425874944952028,"(0.409844693179096, 0.4419051967249601)"
Kaffrine,81,0.0327141291953267,"(0.020398681974313604, 0.04502957641633998)",0.6286382460044706,"(0.591929230768109, 0.6653472612408322)"
Kanel,81,0.0165068860945538,"(0.011712389182243044, 0.021301383006864683)",1.2419757522169237,"(1.2020839450877645, 1.2818675593460824)"
Kaolack,81,0.0663104018774447,"(0.056063195503583074, 0.07655760825130642)",2.880674547301602,"(2.8277881331969326, 2.933560961406272)"
Kebemer,81,0.0194698618140378,"(0.014019813088296473, 0.024919910539779266)",0.4683233351063478,"(0.4551155160424898, 0.48153115417020587)"
Kedougou,81,0.0162039707196441,"(0.008818250225623103, 0.023589691213665276)",1.173865184946088,"(1.1403926019999986, 1.2073377678921773)"
Keur Massar,81,0.0441362439354335,"(0.03680628816030662, 0.051466199710560545)",1.9525563913107788,"(1.8928624382846948, 2.012250344336863)"
Kolda,81,0.0187406783311061,"(0.01316783600496052, 0.024313520657251786)",1.4815926643554818,"(1.4289381776777361, 1.5342471510332274)"
Koumpentoum,81,0.011747,"(0.012492681412311185, 0.011001088089798827)",0.7370455483157841,"(0.7061426099930372, 0.7679484866385309)"
Koungheul,81,0.0574521536490593,"(0.04630950163878822, 0.0685948056593304)",3.0599114057207686,"(2.99534159794419, 3.124481213497347)"
Linguere,81,0.0298956659988149,"(0.022194372227382075, 0.037596959770247906)",1.0415282640370336,"(1.0047803988360116, 1.0782761292380556)"
Louga,81,0.0497652914157953,"(0.04327561413867187, 0.056254968692918794)",1.0883489158837492,"(1.0300454911086234, 1.146652340658875)"
Malem Hoddar,81,0.042632287299412,"(0.03503211661434591, 0.050232457984478174)",1.1909214197277933,"(1.1553961714028702, 1.2264466680527164)"
Matam,81,0.02123,"(0.019861234085728256, 0.022599616744372497)",1.6776427089166577,"(1.6383343087191164, 1.7169511091141985)"
Mbacke,81,0.0425313399142766,"(0.037243606428333464, 0.047819073400219736)",0.7504311626520703,"(0.7216966393557556, 0.7791656859483851)"
Mbour,81,0.0176555483187783,"(0.014602374141709618, 0.0207087224958471)",1.0753959072148689,"(1.0514132476312668, 1.099378566798471)"
Medina Yoro Foulah,81,0.0476579409001516,"(0.04144076156157439, 0.05387512023872887)",1.645210343014455,"(1.5962281642027563, 1.694192521826153)"
Nioro du Rip,81,0.031508645311419,"(0.02048265379198, 0.04253463683085812)",1.9769772476337195,"(1.9224225011766691, 2.03153199409077)"
Oussouye,81,0.0260350679562648,"(0.017845583825867095, 0.03422455208666264)",1.330297068973195,"(1.2849599453537621, 1.3756341925926279)"
Pikine,81,0.0478447267931727,"(0.04465664963187521, 0.051032803954470296)",0.7141044772214968,"(0.683729144352256, 0.7444798100907377)"
Podor,81,0.062093252615881,"(0.0487621767162949, 0.07542432851546721)",2.08667572560988,"(2.043670105918352, 2.1296813453014067)"
Ranerou Ferlo,81,0.0540742902221538,"(0.04726387145863953, 0.06088470898566811)",1.3253728253751973,"(1.2891241276407968, 1.3616215231095978)"
Rufisque,81,0.0119513367226105,"(0.010779411677290796, 0.013123261767930217)",0.6724966859984534,"(0.6615232058672618, 0.683470166129645)"
Saint-Louis,81,0.018443,"(0.016441579173274816, 0.020445113049191832)",1.466622762880803,"(1.4377511221086863, 1.4954944036529199)"
Salemata,81,0.0365638517795119,"(0.02808635989018171, 0.04504134366884216)",1.643617590250976,"(1.6003464353877703, 1.6868887451141816)"
Saraya,81,0.0528496995152139,"(0.04668213795287102, 0.05901726107755678)",1.5412745812873894,"(1.4946611744989085, 1.5878879880758703)"
Sedhiou,81,0.0330544280405575,"(0.02314151970443845, 0.04296733637667671)",1.2029508256813417,"(1.1677167918736515, 1.2381848594890315)"
Tambacounda,81,0.019063,"(0.014416269113607825, 0.023709292806437077)",1.5235328409280695,"(1.486552975323022, 1.5605127065331175)"
Thies,81,0.0105038130475563,"(0.007945057775557984, 0.013062568319554657)",0.661635446160453,"(0.639079098055106, 0.6841917942658)"
Tivaoune,81,0.0204700413017846,"(0.018629395425556083, 0.02231068717801321)",0.967316719357008,"(0.9416922907580698, 0.9929411479559462)"
Velingara,81,0.0242262546344349,"(0.02058456752099147, 0.027867941747878433)",1.1109713580247558,"(1.0736670665820398, 1.1482756494674717)"
Ziguinchor,81,0.0432213131804388,"(0.03812103913135445, 0.04832158722952329)",1.0965518005337955,"(1.0511310932402793, 1.1419725078273117)"
