PROVINCE,MNFR,RESULT
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,0
CENTRAL,ACME FORMULATION PVT. LTD.,0
CENTRAL,NOVARTIS PHARMA,0
CENTRAL,BELCO PHARMA,0
CENTRAL,BELCO PHARMA,0
ASHANTI,PIRAMAL HEALTHCARE UK LIMITED,0
ASHANTI,HUBEI TIANYAO PHARMACEUTICALS CO LTD.,1
ASHANTI,BELCO PHARMA,1
ASHANTI,BELCO PHARMA,1
ASHANTI,BELCO PHARMA,1
ASHANTI,AS GRINDEKS,0
ASHANTI,ACME FORMULATION PVT. LTD.,0
ASHANTI,HUBEI TIANYAO PHARMACEUTICALS CO LTD.,1
ASHANTI,BELCO PHARMA,1
ASHANTI,PIRAMAL HEALTHCARE UK LIMITED,0
CENTRAL,BELCO PHARMA,1
CENTRAL,BELCO PHARMA,1
CENTRAL,BELCO PHARMA,1
CENTRAL,SHANXI SHUGUANG PHARM,1
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,0
CENTRAL,AS GRINDEKS,0
CENTRAL,SHANDOND SHENGLU PHARMACEUTICAL CO.LTD.,1
CENTRAL,SHANXI SHUGUANG PHARM,1
CENTRAL,NOVARTIS PHARMA,0
EASTERN REGION,BELCO PHARMA,1
EASTERN REGION,BELCO PHARMA,1
EASTERN REGION,PIRAMAL HEALTHCARE UK LIMITED,0
EASTERN REGION,BELCO PHARMA,0
CENTRAL,AS GRINDEKS,0
CENTRAL,BELCO PHARMA,0
CENTRAL,BELCO PHARMA,1
CENTRAL,BELCO PHARMA,1
CENTRAL,PUSHKAR PHARMA,1
CENTRAL,NORTH CHINA PHARMACEUTICAL CO. LTD,0
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,0
CENTRAL,AS GRINDEKS,0
CENTRAL,AS GRINDEKS,0
CENTRAL,BELCO PHARMA,0
CENTRAL,AS GRINDEKS,0
CENTRAL,BELCO PHARMA,0
CENTRAL,BELCO PHARMA,1
AHAFO,PIRAMAL HEALTHCARE UK LIMITED,0
AHAFO,BHARAT PARENTERALS LTD,1
AHAFO,BELCO PHARMA,0
AHAFO,NORTH CHINA PHARMACEUTICAL CO. LTD,1
AHAFO,BELCO PHARMA,1
AHAFO,PIRAMAL HEALTHCARE UK LIMITED,0
AHAFO,BHARAT PARENTERALS LTD,1
EASTERN REGION,PIRAMAL HEALTHCARE UK LIMITED,0
AHAFO,PIRAMAL HEALTHCARE UK LIMITED,1
AHAFO,ACME FORMULATION PVT. LTD.,0
AHAFO,BELCO PHARMA,1
EASTERN REGION,BELCO PHARMA,0
EASTERN REGION,BELCO PHARMA,1
EASTERN REGION,BELCO PHARMA,0
EASTERN REGION,BELCO PHARMA,1
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,0
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,0
CENTRAL,BELCO PHARMA,1
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,0
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,0
CENTRAL,BELCO PHARMA,0
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,0
CENTRAL,SHANXI SHUGUANG PHARM,1
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,0
CENTRAL,AS GRINDEKS,0
CENTRAL,NOVARTIS PHARMA,0
CENTRAL,NOVARTIS PHARMA,1
CENTRAL,NOVARTIS PHARMA,0
CENTRAL,NOVARTIS PHARMA,1
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,0
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,0
CENTRAL,SHANXI SHUGUANG PHARM,1
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,0
CENTRAL,SHANXI SHUGUANG PHARM,1
CENTRAL,BHARAT PARENTERALS LTD,1
CENTRAL,AS GRINDEKS,0
CENTRAL,HUBEI TIANYAO PHARMACEUTICALS CO LTD.,1
CENTRAL,BELCO PHARMA,1
CENTRAL,BELCO PHARMA,1
CENTRAL,BELCO PHARMA,1
CENTRAL,BELCO PHARMA,0
CENTRAL,AS GRINDEKS,0
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,0
EASTERN REGION,BHARAT PARENTERALS LTD,1
EASTERN REGION,NOVARTIS PHARMA,0
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,0
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,0
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,0
CENTRAL,AS GRINDEKS,0
CENTRAL,AS GRINDEKS,0
CENTRAL,AS GRINDEKS,0
CENTRAL,AS GRINDEKS,0
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,0
CENTRAL,BHARAT PARENTERALS LTD,0
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,0
CENTRAL,BELCO PHARMA,0
CENTRAL,AS GRINDEKS,0
CENTRAL,BELCO PHARMA,1
CENTRAL,BELCO PHARMA,0
CENTRAL,AS GRINDEKS,0
CENTRAL,BELCO PHARMA,0
CENTRAL,ACME FORMULATION PVT. LTD.,0
CENTRAL,BELCO PHARMA,1
ASHANTI,HUBEI TIANYAO PHARMACEUTICALS CO LTD.,1
ASHANTI,NOVARTIS PHARMA,0
ASHANTI,SHANXI SHUGUANG PHARM,1
ASHANTI,PIRAMAL HEALTHCARE UK LIMITED,0
ASHANTI,NOVARTIS PHARMA,0
ASHANTI,PFIZER,1
ASHANTI,NOVARTIS PHARMA,0
ASHANTI,SHANXI SHUGUANG PHARM,1
ASHANTI,NOVARTIS PHARMA,0
ASHANTI,NOVARTIS PHARMA,0
ASHANTI,PIRAMAL HEALTHCARE UK LIMITED,0
ASHANTI,SHANXI SHUGUANG PHARM,1
ASHANTI,BHARAT PARENTERALS LTD,0
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,0
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,1
CENTRAL,BELCO PHARMA,1
CENTRAL,BELCO PHARMA,0
CENTRAL,AS GRINDEKS,0
EASTERN REGION,BELCO PHARMA,0
EASTERN REGION,BELCO PHARMA,0
EASTERN REGION,PIRAMAL HEALTHCARE UK LIMITED,0
EASTERN REGION,AS GRINDEKS,0
CENTRAL,SHANDOND SHENGLU PHARMACEUTICAL CO.LTD.,1
CENTRAL,BELCO PHARMA,1
CENTRAL,BELCO PHARMA,1
CENTRAL,AS GRINDEKS,0
CENTRAL,HUBEI TIANYAO PHARMACEUTICALS CO LTD.,1
CENTRAL,BELCO PHARMA,0
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,0
CENTRAL,BELCO PHARMA,0
CENTRAL,BELCO PHARMA,0
CENTRAL,BELCO PHARMA,0
CENTRAL,BELCO PHARMA,0
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,0
CENTRAL,AS GRINDEKS,0
CENTRAL,PIRAMAL HEALTHCARE UK LIMITED,0
CENTRAL,BHARAT PARENTERALS LTD,1
CENTRAL,BHARAT PARENTERALS LTD,1
